LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,2707011200,653.200019
Oahu,2707011202,595.494423
Oahu,2707011204,660.525968
Oahu,2707011206,936.778035
Oahu,2707011208,907.765373
Oahu,2707011210,772.398095
Oahu,2707011212,726.835069
Oahu,2707011214,663.352416
Oahu,2707011216,826.246749
Oahu,2707011218,1104.306863
Oahu,2707011220,919.102247
Oahu,2707011222,759.322086
Oahu,2707011900,613.072300
Oahu,2707011902,556.664694
Oahu,2707011904,630.936175
Oahu,2707011906,906.913244
Oahu,2707011908,839.398674
Oahu,2707011910,658.930823
Oahu,2707011912,628.589307
Oahu,2707011914,655.898708
Oahu,2707011916,859.818364
Oahu,2707011918,1084.067004
Oahu,2707011920,904.615349
Oahu,2707011922,744.538189
Oahu,2707021200,545.389773
Oahu,2707021202,502.380074
Oahu,2707021204,586.980482
Oahu,2707021206,861.890559
Oahu,2707021208,747.746024
Oahu,2707021210,584.297013
Oahu,2707021212,522.360336
Oahu,2707021214,493.731360
Oahu,2707021216,770.753171
Oahu,2707021218,1103.316869
Oahu,2707021220,912.645292
Oahu,2707021222,697.920515
Oahu,2707050200,627.735197
Oahu,2707050202,578.840539
Oahu,2707050204,636.667134
Oahu,2707050206,899.377926
Oahu,2707050208,809.207973
Oahu,2707050210,614.561848
Oahu,2707050212,710.565345
Oahu,2707050214,629.789837
Oahu,2707050216,876.298480
Oahu,2707050218,1069.222451
Oahu,2707050220,958.668970
Oahu,2707050222,749.224156
Oahu,2707092200,711.631610
Oahu,2707092202,647.700057
Oahu,2707092204,665.497933
Oahu,2707092206,809.106763
Oahu,2707092208,852.159441
Oahu,2707092210,745.302335
Oahu,2707092212,517.176905
Oahu,2707092214,601.477788
Oahu,2707092216,836.081291
Oahu,2707092218,1098.146906
Oahu,2707092220,932.280155
Oahu,2707092222,809.195737
Oahu,2707102700,699.234697
Oahu,2707102702,635.226145
Oahu,2707102704,658.600981
Oahu,2707102706,801.555981
Oahu,2707102708,780.941661
Oahu,2707102710,743.325414
Oahu,2707102712,674.293261
Oahu,2707102714,698.769087
Oahu,2707102716,927.511625
Oahu,2707102718,1079.392037
Oahu,2707102720,918.002255
Oahu,2707102722,790.440868
Oahu,2707121500,662.285955
Oahu,2707121502,590.874455
Oahu,2707121504,617.670267
Oahu,2707121506,757.523289
Oahu,2707121508,847.882082
Oahu,2707121510,618.906062
Oahu,2707121512,636.522164
Oahu,2707121514,679.683256
Oahu,2707121516,870.799635
Oahu,2707121518,1039.891313
Oahu,2707121520,882.846501
Oahu,2707121522,750.093150
Oahu,2708022000,606.311235
Oahu,2708022002,552.023913
Oahu,2708022004,628.519685
Oahu,2708022006,896.072100
Oahu,2708022008,797.260426
Oahu,2708022010,610.381263
Oahu,2708022012,561.554122
Oahu,2708022014,686.705992
Oahu,2708022016,857.604079
Oahu,2708022018,1135.943922
Oahu,2708022020,938.484488
Oahu,2708022022,713.573470
Oahu,2708041000,581.018278
Oahu,2708041002,540.885416
Oahu,2708041004,634.540185
Oahu,2708041006,901.313156
Oahu,2708041008,778.732664
Oahu,2708041010,640.434078
Oahu,2708041012,546.932740
Oahu,2708041014,659.887848
Oahu,2708041016,825.925746
Oahu,2708041018,1114.420826
Oahu,2708041020,962.509370
Oahu,2708041022,735.530590
Oahu,2708061700,679.973830
Oahu,2708061702,621.322502
Oahu,2708061704,688.142061
Oahu,2708061706,861.292266
Oahu,2708061708,802.650863
Oahu,2708061710,652.773216
Oahu,2708061712,677.668892
Oahu,2708061714,814.276581
Oahu,2708061716,823.064821
Oahu,2708061718,1069.719435
Oahu,2708061720,1003.521888
Oahu,2708061722,788.504140
Oahu,2708081800,679.174143
