regional_fuel_market,fuel,tier,period,unit_cost,max_avail_at_cost,fixed_cost,max_age
Hawaii_Biodiesel,Biodiesel,base,2045,29.751201,.,0.000000,.
Hawaii_Coal,Coal,base,2045,6.893771,.,0.000000,.
Hawaii_Diesel,Diesel,base,2045,11.320675,.,0.000000,.
Hawaii_LNG,LNG,bulk_05,2045,5.678894,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_10,2045,5.678894,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_15,2045,5.678894,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_20,2045,5.678894,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_25,2045,5.678894,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,container_05,2045,8.649040,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_10,2045,8.649040,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_15,2045,8.649040,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_20,2045,8.649040,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_25,2045,8.649040,24752000.0,1.458826,25.0000000000000000
Hawaii_LSFO,LSFO,base,2045,12.326709,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2045,19.285574,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2045,17.775430,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2045,16.916493,.,0.000000,.
